year,production,midband,ub,lb
1960-01-01 00:00:00.000000000,3907.136962890625,3907.136962890625,,
1961-01-01 00:00:00.000000000,4119.66796875,4066.5352172851562,4517.381563651842,3615.6888709184705
1962-01-01 00:00:00.000000000,4229.048828125,4179.044640174279,4579.69596291184,3778.3933174367185
1963-01-01 00:00:00.000000000,4336.93310546875,4285.619354248047,4673.3727986211,3897.865909874994
1964-01-01 00:00:00.000000000,4443.37939453125,4391.227315098787,4777.010849449031,4005.443780748542
1965-01-01 00:00:00.000000000,4696.4560546875,4594.992654989053,5244.892551325049,3945.0927586530584
1966-01-01 00:00:00.000000000,4846.64697265625,4762.838947376415,5390.4045916889345,4135.273303063895
1967-01-01 00:00:00.000000000,4995.34228515625,4917.864800950958,5507.291307810902,4328.438294091014
1968-01-01 00:00:00.000000000,5142.60009765625,5067.695944298527,5631.439361514811,4503.952527082243
1969-01-01 00:00:00.000000000,5548.505859375,5388.241316146861,6403.4522007437145,4373.030431550008
1970-01-01 00:00:00.000000000,5853.59375,5698.478023344247,6798.367040924028,4598.5890057644665
1971-01-01 00:00:00.000000000,6157.1865234375,6004.284265501478,7120.036448345694,4888.532082657262
1971-01-01 00:00:00.000002009,6157.1865234375,6106.21916806166,6819.298787331659,5393.139548791661
1972-01-01 00:00:00.000000000,6459.3408203125,6341.633652114874,7159.1137301308745,5524.153574098874
1972-01-01 00:00:00.000002009,6459.3408203125,6420.105103048769,6947.530655280966,5892.6795508165715
1973-01-01 00:00:00.000000000,6735.30615234375,6630.239140793623,7330.333924802645,5930.144356784601
1973-01-01 00:00:00.000002009,6735.30615234375,6700.283815702768,7155.842669508795,6244.724961896742
1974-01-01 00:00:00.000000000,6904.171875,6836.209188918437,7321.450694439992,6350.9676833968815
1974-01-01 00:00:00.000002009,6904.171875,6881.517646345129,7192.905099478169,6570.130193212089
1975-01-01 00:00:00.000000000,7071.541015625,7008.199892568042,7428.623772478065,6587.776012658019
1975-01-01 00:00:00.000002009,7071.541015625,7050.427307943385,7324.228582071913,6776.626033814858
1976-01-01 00:00:00.000000000,7237.47216796875,7175.123881297603,7581.242293281246,6769.005469313959
1976-01-01 00:00:00.000002009,7237.47216796875,7216.689405745475,7482.257897069296,6951.120914421654
1977-01-01 00:00:00.000000000,7350.544921875,7305.926416498806,7614.435851234543,6997.416981763069
1977-01-01 00:00:00.000002009,7350.544921875,7335.672086749637,7534.893741851338,7136.450431647936
1978-01-01 00:00:00.000000000,7354.6474609375,7348.322336208217,7469.442174616578,7227.202497799856
1978-01-01 00:00:00.000002009,7354.6474609375,7352.53908602774,7423.602676541561,7281.47549551392
1979-01-01 00:00:00.000000000,7357.255859375,7355.68360159258,7397.782727895579,7313.584475289581
1979-01-01 00:00:00.000002009,7357.255859375,7356.731773447526,7381.240277889103,7332.22326900595
