ds,y,yhat1,residual1,trend,season_yearly
1991-01-01,402.56,410.04339599609375,7.483395996093748,-31.870132446289062,441.9135437011719
1992-01-01,431.52,422.3135681152344,-9.206431884765607,-17.246002197265625,439.5595703125
1993-01-01,446.88,442.76531982421875,-4.1146801757812455,-3.0941619873046875,445.8594970703125
1994-01-01,435.52,441.97430419921875,6.454304199218768,-2.039764404296875,444.0140686035156
1995-01-01,443.2,442.0159912109375,-1.1840087890624886,0.102447509765625,441.9135437011719
1996-01-01,445.28000000000003,455.6631774902344,10.383177490234345,16.103622436523438,439.5595703125
1997-01-01,474.24,473.1782531738281,-1.061746826171884,27.318756103515625,445.8594970703125
1998-01-01,472.8,443.6387634277344,-29.161236572265636,-0.37530517578125,444.0140686035156
1999-01-01,400.16,411.364501953125,11.204501953124975,-30.549057006835938,441.9135437011719
2000-01-01,348.8,364.2806091308594,15.480609130859364,-75.27896118164062,439.5595703125
2001-01-01,338.88,326.0097351074219,-12.87026489257812,-119.84976196289062,445.8594970703125
2002-01-01,274.88,280.970703125,6.0907031250000045,-163.04336547851562,444.0140686035156
2003-01-01,241.44,243.233154296875,1.7931542968750023,-198.68038940429688,441.9135437011719
2004-01-01,240.16,232.2961883544922,-7.863811645507809,-207.26336669921875,439.5595703125
2005-01-01,228.0,233.7598419189453,5.7598419189453125,-212.09963989257812,445.8594970703125
2007-01-01,235.84,236.62513732910156,0.7851373291015591,-205.28842163085938,441.9135437011719
2008-01-01,228.8,221.62857055664062,-7.171429443359386,-217.93099975585938,439.5595703125
2009-01-01,207.04,213.80189514160156,6.7618951416015705,-232.05758666992188,445.8594970703125
2010-01-01,196.64000000000001,194.90670776367188,-1.7332922363281398,-249.10736083984375,444.0140686035156
2011-01-01,187.20000000000002,183.9761505126953,-3.2238494873047046,-257.9374084472656,441.9135437011719
2012-01-01,186.4,187.16107177734375,0.7610717773437443,-252.39846801757812,439.5595703125
2013-01-01,192.96,199.01515197753906,6.0551519775390545,-246.84432983398438,445.8594970703125
2014-01-01,203.04,202.70864868164062,-0.33135131835936704,-241.305419921875,444.0140686035156
2015-01-01,208.96,206.14707946777344,-2.8129205322265705,-235.76644897460938,441.9135437011719
2016-01-01,220.8,209.33204650878906,-11.467953491210949,-230.22750854492188,439.5595703125
2017-01-01,196.16,221.18609619140625,25.026096191406253,-224.67340087890625,445.8594970703125
2018-01-01,201.6,224.87962341308594,23.279623413085943,-219.13442993164062,444.0140686035156
2019-01-01,188.64000000000001,228.31802368164062,39.67802368164061,-213.59552001953125,441.9135437011719
2020-01-01,170.72,231.50299072265625,60.78299072265625,-208.05657958984375,439.5595703125
2021-01-01,185.6,243.35702514648438,57.75702514648438,-202.50247192382812,445.8594970703125
2022-01-01,,247.05059814453125,,-196.96347045898438,444.0140686035156
2023-01-01,,250.48898315429688,,-191.424560546875,441.9135437011719
2024-01-01,,253.6739501953125,,-185.88558959960938,439.5595703125
2025-01-01,,265.52801513671875,,-180.33148193359375,445.8594970703125
2026-01-01,,269.2215270996094,,-174.79254150390625,444.0140686035156
2027-01-01,,272.65997314453125,,-169.25360107421875,441.9135437011719
2028-01-01,,275.8448791503906,,-163.71466064453125,439.5595703125
2029-01-01,,287.698974609375,,-158.1605224609375,445.8594970703125
2030-01-01,,291.3924560546875,,-152.62161254882812,444.0140686035156
2031-01-01,,294.8309020996094,,-147.0826416015625,441.9135437011719
